off_team,def_team,play_type,location,depth_bucket,off_epa_per_att,def_epa_allowed_per_play,edge_off_minus_def,off_pass_attempts,def_pass_att_allowed
BUF,JAX,pass,left,short,-0.01425,-0.07630742018438377,0.062057420184383774,24,69.0
BUF,JAX,pass,left,medium,0.031200000000000002,0.8591526462447672,-0.8279526462447672,15,15.0
BUF,JAX,pass,left,deep,0.056999999999999995,0.3306956728483778,-0.2736956728483778,10,16.0
BUF,JAX,pass,middle,short,0.009958333333333333,-0.2397748253387104,0.2497331586720437,24,31.0
BUF,JAX,pass,middle,medium,0.07692307692307693,-0.4398138080351701,0.516736884958247,13,18.0
BUF,JAX,pass,middle,deep,1.486,-0.08957335439944553,1.5755733543994455,2,11.0
BUF,JAX,pass,right,short,0.014129032258064516,0.1418493596260298,-0.12772032736796526,31,62.0
BUF,JAX,pass,right,medium,0.01972222222222222,-0.1649233867921049,0.1846456090143271,18,17.0
BUF,JAX,pass,right,deep,-0.0825,0.5542066815764609,-0.6367066815764609,8,17.0
CAR,LAR,pass,left,short,-0.0006326530612244898,,,49,
CAR,LAR,pass,left,medium,0.0015714285714285715,,,21,
CAR,LAR,pass,left,deep,0.021,,,8,
CAR,LAR,pass,middle,short,-0.0068,,,30,
CAR,LAR,pass,middle,medium,0.045785714285714284,,,14,
CAR,LAR,pass,middle,deep,-0.23525,,,4,
CAR,LAR,pass,right,short,0.009717391304347827,,,46,
CAR,LAR,pass,right,medium,-0.0023846153846153848,,,13,
CAR,LAR,pass,right,deep,0.093,,,8,
CHI,GB,pass,left,short,0.014642857142857141,0.1237870116442589,-0.10914415450140176,28,56.0
CHI,GB,pass,left,medium,0.012357142857142856,0.2348221600792983,-0.22246501722215545,14,15.0
CHI,GB,pass,left,deep,0.18085714285714286,0.1930724045047747,-0.012215261647631842,7,14.0
CHI,GB,pass,middle,short,0.025705882352941176,0.3507044567219311,-0.32499857436898993,17,48.0
CHI,GB,pass,middle,medium,0.0067,1.647469585777596,-1.6407695857775961,10,9.0
