off_team,lane,off_rush_share
NYJ,left_tackle,0.4444444444444444
PHI,left_tackle,0.4210526315789473
PIT,left_tackle,0.5789473684210527
SEA,left_tackle,0.391304347826087
SF,left_tackle,0.6
TB,left_tackle,0.4482758620689655
TEN,left_tackle,0.2222222222222222
WAS,left_tackle,0.5357142857142857
,left_tackle,
,left_tackle,
Rush TDs (by lane),left_tackle,
Team,left_tackle,Left Tackle
ARI,left_tackle,3
ATL,left_tackle,0
BAL,left_tackle,2
BUF,left_tackle,1
CAR,left_tackle,1
CHI,left_tackle,0
CIN,left_tackle,0
CLE,left_tackle,1
DAL,left_tackle,0
DEN,left_tackle,0
DET,left_tackle,1
GB,left_tackle,1
HOU,left_tackle,1
IND,left_tackle,2
JAX,left_tackle,0
KC,left_tackle,1
LA,left_tackle,1
LAC,left_tackle,0
LV,left_tackle,0
MIA,left_tackle,0
MIN,left_tackle,0
NE,left_tackle,0
NO,left_tackle,0
NYG,left_tackle,0
NYJ,left_tackle,0
PHI,left_tackle,0
PIT,left_tackle,2
SEA,left_tackle,3
SF,left_tackle,0
TB,left_tackle,0
TEN,left_tackle,0
WAS,left_tackle,1
ARI,left_guard,4
ATL,left_guard,15.1
BAL,left_guard,10.9
BUF,left_guard,12.1
CAR,left_guard,10.1
CHI,left_guard,8.5
CIN,left_guard,10.2
CLE,left_guard,7
DAL,left_guard,13.3
DEN,left_guard,11.5
DET,left_guard,8.5
GB,left_guard,9.4
HOU,left_guard,12.3
IND,left_guard,7.6
JAX,left_guard,8.8
KC,left_guard,17.6
LA,left_guard,15.6
LAC,left_guard,9.9
LV,left_guard,22
MIA,left_guard,11.9
MIN,left_guard,8.7
NE,left_guard,13.3
NO,left_guard,15.9
NYG,left_guard,13.4
NYJ,left_guard,14.9
PHI,left_guard,7.4
PIT,left_guard,10.4
SEA,left_guard,12.8
SF,left_guard,15.2
TB,left_guard,13.6
TEN,left_guard,11.1
WAS,left_guard,14
,left_guard,
,left_guard,
Yards per Carry (by lane),left_guard,
Team,left_guard,Left Guard
ARI,left_guard,2.142857142857143
ATL,left_guard,3.653846153846154
BAL,left_guard,2.384615384615385
BUF,left_guard,6.166666666666667
CAR,left_guard,4
CHI,left_guard,3.923076923076923
CIN,left_guard,3.583333333333333
CLE,left_guard,2.583333333333333
DAL,left_guard,8
DEN,left_guard,4.095238095238095
DET,left_guard,3
GB,left_guard,3.125
HOU,left_guard,2.722222222222222
IND,left_guard,4.5
JAX,left_guard,4
KC,left_guard,3.96875
LA,left_guard,3.6
LAC,left_guard,2.733333333333333
LV,left_guard,4.916666666666667
MIA,left_guard,4
MIN,left_guard,3.636363636363636
NE,left_guard,2
NO,left_guard,3.827586206896552
NYG,left_guard,4.74074074074074
NYJ,left_guard,5
PHI,left_guard,2.538461538461538
PIT,left_guard,3.714285714285714
SEA,left_guard,2.84
SF,left_guard,2.571428571428572
TB,left_guard,3.130434782608696
TEN,left_guard,2.6
WAS,left_guard,5.2
,left_guard,
