def_team,lane,def_rush_share_allowed
MIN,left_tackle,0.5416666666666666
NE,left_tackle,0.25
NO,left_tackle,0.55
NYG,left_tackle,0.4782608695652174
NYJ,left_tackle,0.3157894736842105
PHI,left_tackle,0.5
PIT,left_tackle,0.5
SEA,left_tackle,0.3846153846153846
SF,left_tackle,0.4615384615384616
TB,left_tackle,0.1666666666666667
TEN,left_tackle,0.2647058823529412
WAS,left_tackle,0.5217391304347826
,left_tackle,
,left_tackle,
Rush TDs (by lane),left_tackle,
Team,left_tackle,Left Tackle
ARI,left_tackle,0
ATL,left_tackle,1
BAL,left_tackle,0
BUF,left_tackle,2
CAR,left_tackle,1
CHI,left_tackle,0
CIN,left_tackle,1
CLE,left_tackle,0
DAL,left_tackle,2
DEN,left_tackle,0
DET,left_tackle,1
GB,left_tackle,0
HOU,left_tackle,2
IND,left_tackle,1
JAX,left_tackle,0
KC,left_tackle,0
LA,left_tackle,0
LAC,left_tackle,0
LV,left_tackle,2
MIA,left_tackle,0
MIN,left_tackle,2
NE,left_tackle,0
NO,left_tackle,3
NYG,left_tackle,0
NYJ,left_tackle,0
PHI,left_tackle,0
PIT,left_tackle,0
SEA,left_tackle,0
SF,left_tackle,0
TB,left_tackle,0
TEN,left_tackle,3
WAS,left_tackle,0
ARI,left_guard,6.2
ATL,left_guard,10.6
BAL,left_guard,18.1
BUF,left_guard,14.9
CAR,left_guard,9.3
CHI,left_guard,11.1
CIN,left_guard,11.6
CLE,left_guard,4.9
DAL,left_guard,10.9
DEN,left_guard,12.6
DET,left_guard,8.8
GB,left_guard,10.1
HOU,left_guard,13.3
IND,left_guard,10.1
JAX,left_guard,6.5
KC,left_guard,14.7
LA,left_guard,9.1
LAC,left_guard,12.7
LV,left_guard,19.2
MIA,left_guard,10.2
MIN,left_guard,6
NE,left_guard,10.5
NO,left_guard,13.4
NYG,left_guard,12.7
NYJ,left_guard,15.6
PHI,left_guard,13.1
PIT,left_guard,15.6
SEA,left_guard,17.8
SF,left_guard,11.6
TB,left_guard,8.2
TEN,left_guard,11.9
WAS,left_guard,15
,left_guard,
,left_guard,
Yards per Carry (by lane),left_guard,
Team,left_guard,Left Guard
ARI,left_guard,4.3
ATL,left_guard,4.875
BAL,left_guard,3.2
BUF,left_guard,4.958333333333333
CAR,left_guard,2.714285714285714
CHI,left_guard,8.117647058823529
CIN,left_guard,3.130434782608696
CLE,left_guard,1.25
DAL,left_guard,3.727272727272727
DEN,left_guard,4.047619047619047
DET,left_guard,4.846153846153846
GB,left_guard,3.692307692307693
HOU,left_guard,3.368421052631579
IND,left_guard,3.066666666666667
JAX,left_guard,4.2
KC,left_guard,4.086956521739131
LA,left_guard,3.176470588235294
LAC,left_guard,4.857142857142857
LV,left_guard,2.96969696969697
MIA,left_guard,6.904761904761905
MIN,left_guard,2.6
NE,left_guard,4.3125
NO,left_guard,2.444444444444445
NYG,left_guard,3.095238095238095
NYJ,left_guard,6.125
PHI,left_guard,3.64
PIT,left_guard,3.791666666666667
SEA,left_guard,2.214285714285714
SF,left_guard,3.55
TB,left_guard,3.928571428571428
TEN,left_guard,4.25
WAS,left_guard,4.206896551724138
,left_guard,
,left_guard,
Rush Success Rate (by lane),left_guard,
Team,left_guard,Left Guard
ARI,left_guard,0.5
ATL,left_guard,0.4375
BAL,left_guard,0.5
BUF,left_guard,0.5833333333333334
CAR,left_guard,0.2142857142857143
CHI,left_guard,0.7058823529411765
CIN,left_guard,0.4782608695652174
CLE,left_guard,0.25
DAL,left_guard,0.4090909090909091
DEN,left_guard,0.3809523809523809
DET,left_guard,0.5384615384615384
GB,left_guard,0.4615384615384616
HOU,left_guard,0.4210526315789473
IND,left_guard,0.2666666666666667
JAX,left_guard,0.3
KC,left_guard,0.3043478260869565
LA,left_guard,0.1764705882352941
LAC,left_guard,0.4761904761904762
LV,left_guard,0.4242424242424243
MIA,left_guard,0.6190476190476191
MIN,left_guard,0.3
NE,left_guard,0.5625
NO,left_guard,0.2962962962962963
NYG,left_guard,0.3333333333333333
NYJ,left_guard,0.34375
PHI,left_guard,0.32
PIT,left_guard,0.3333333333333333
